Time   Bi213   Tl209   Pb209   Bi209 
0      9997      1      2       0 
1      9995      1      4       0 
2      9994      2      4       0 
3      9991      2      7       0 
4      9988      2      10       0 
5      9986      2      12       0 
6      9983      2      15       0 
7      9978      2      19       1 
8      9974      2      23       1 
9      9972      2      24       2 
10      9970      2      25       3 
11      9967      2      28       3 
12      9962      2      32       4 
13      9961      2      32       5 
14      9958      2      35       5 
15      9956      2      37       5 
16      9954      2      38       6 
17      9952      2      40       6 
18      9952      2      40       6 
19      9950      2      41       7 
20      9945      2      46       7 
21      9941      2      50       7 
22      9939      2      52       7 
23      9937      3      53       7 
24      9935      3      54       8 
25      9934      3      54       9 
26      9931      3      57       9 
27      9930      3      58       9 
28      9927      3      61       9 
29      9925      3      63       9 
30      9919      3      69       9 
31      9916      3      71       10 
32      9911      3      76       10 
33      9906      3      81       10 
34      9901      3      86       10 
35      9898      3      89       10 
36      9895      3      92       10 
37      9891      3      96       10 
38      9889      3      98       10 
39      9886      3      101       10 
40      9884      3      103       10 
41      9883      3      104       10 
42      9879      3      107       11 
43      9879      3      106       12 
44      9875      3      110       12 
45      9873      3      111       13 
46      9871      3      113       13 
47      9869      3      114       14 
48      9867      3      115       15 
49      9864      3      118       15 
50      9860      3      122       15 
51      9857      3      125       15 
52      9852      3      129       16 
53      9846      3      135       16 
54      9843      3      138       16 
55      9836      4      144       16 
56      9833      3      148       16 
57      9832      3      149       16 
58      9829      3      152       16 
59      9824      3      156       17 
60      9823      3      157       17 
61      9821      3      159       17 
62      9819      3      161       17 
63      9817      3      163       17 
64      9813      3      167       17 
65      9813      3      167       17 
66      9812      3      168       17 
67      9808      3      172       17 
68      9805      3      175       17 
69      9803      3      176       18 
70      9798      3      181       18 
71      9796      3      182       19 
72      9796      3      182       19 
73      9794      3      183       20 
74      9788      3      189       20 
75      9784      3      193       20 
76      9782      3      194       21 
77      9777      3      199       21 
78      9773      3      203       21 
79      9769      3      206       22 
80      9767      3      208       22 
81      9766      3      208       23 
82      9763      3      210       24 
83      9761      3      211       25 
84      9760      3      212       25 
85      9756      3      214       27 
86      9753      3      216       28 
87      9751      3      218       28 
88      9750      3      219       28 
89      9750      3      217       30 
90      9750      3      216       31 
91      9749      3      215       33 
92      9746      3      218       33 
93      9743      3      220       34 
94      9741      3      220       36 
95      9740      3      220       37 
96      9737      3      222       38 
97      9736      3      223       38 
98      9734      3      224       39 
99      9732      3      226       39 
100      9729      3      229       39 
101      9728      3      229       40 
102      9725      3      231       41 
103      9723      3      230       44 
104      9719      4      232       45 
105      9717      4      233       46 
106      9714      4      236       46 
107      9713      4      237       46 
108      9711      4      239       46 
109      9710      4      240       46 
110      9708      4      241       47 
111      9707      4      241       48 
112      9704      4      244       48 
113      9701      4      246       49 
114      9698      4      248       50 
115      9698      4      248       50 
116      9696      4      250       50 
117      9691      4      255       50 
118      9688      4      254       54 
119      9686      4      254       56 
120      9683      4      257       56 
121      9679      4      261       56 
122      9679      4      261       56 
123      9675      4      264       57 
124      9674      4      264       58 
125      9669      4      268       59 
126      9669      4      267       60 
127      9667      4      268       61 
128      9664      4      270       62 
129      9664      4      268       64 
130      9659      4      270       67 
131      9657      4      272       67 
132      9655      4      272       69 
133      9654      4      272       70 
134      9650      4      275       71 
135      9648      4      275       73 
136      9645      4      277       74 
137      9643      4      278       75 
138      9640      4      281       75 
139      9639      4      282       75 
140      9637      4      283       76 
141      9635      4      284       77 
142      9633      4      286       77 
143      9630      4      289       77 
144      9628      4      290       78 
145      9628      3      289       80 
146      9623      3      293       81 
147      9619      3      295       83 
148      9616      4      296       84 
149      9613      4      298       85 
150      9611      4      300       85 
151      9607      4      304       85 
152      9604      4      306       86 
153      9596      4      314       86 
154      9593      4      315       88 
155      9592      4      315       89 
156      9590      4      317       89 
157      9584      4      320       92 
158      9580      4      323       93 
159      9579      4      324       93 
160      9578      4      322       96 
161      9576      4      321       99 
162      9575      4      322       99 
163      9572      4      324       100 
164      9570      4      326       100 
165      9569      4      325       102 
166      9567      4      327       102 
167      9563      4      330       103 
168      9560      4      329       107 
169      9559      4      329       108 
170      9556      4      331       109 
171      9555      4      330       111 
172      9551      4      333       112 
173      9546      5      337       112 
174      9544      5      337       114 
175      9544      5      335       116 
176      9541      5      337       117 
177      9540      5      338       117 
178      9539      5      338       118 
179      9538      5      338       119 
180      9536      5      339       120 
181      9533      5      338       124 
182      9529      5      342       124 
183      9528      5      343       124 
184      9524      5      346       125 
185      9524      5      344       127 
186      9521      5      346       128 
187      9521      5      345       129 
188      9518      5      348       129 
189      9514      5      352       129 
190      9510      5      356       129 
191      9507      5      358       130 
192      9504      5      360       131 
193      9503      5      357       135 
194      9500      6      358       136 
195      9498      6      358       138 
196      9497      6      357       140 
197      9493      6      360       141 
198      9491      6      361       142 
199      9489      5      362       144 
200      9488      5      359       148 
201      9487      5      358       150 
202      9486      5      357       152 
203      9483      5      360       152 
204      9481      5      361       153 
205      9478      5      362       155 
206      9477      5      363       155 
207      9475      5      362       158 
208      9473      5      363       159 
209      9469      5      367       159 
210      9467      5      369       159 
211      9463      5      372       160 
212      9460      6      372       162 
213      9456      6      374       164 
214      9455      6      374       165 
215      9451      7      375       167 
216      9447      7      378       168 
217      9444      7      380       169 
218      9443      7      378       172 
219      9441      7      378       174 
220      9436      7      383       174 
221      9428      7      389       176 
222      9421      8      393       178 
223      9416      8      397       179 
224      9415      8      398       179 
225      9412      8      399       181 
226      9410      8      400       182 
227      9407      8      401       184 
228      9407      8      399       186 
229      9404      8      401       187 
230      9402      8      402       188 
231      9401      8      401       190 
232      9399      8      402       191 
233      9396      7      405       192 
234      9395      7      405       193 
235      9391      7      408       194 
236      9388      7      409       196 
237      9383      7      413       197 
238      9382      7      414       197 
239      9382      7      413       198 
240      9380      7      412       201 
241      9379      7      412       202 
242      9377      7      413       203 
243      9375      7      412       206 
244      9373      7      414       206 
245      9370      7      416       207 
246      9368      7      418       207 
247      9366      7      419       208 
248      9364      7      421       208 
249      9363      7      417       213 
250      9360      7      419       214 
251      9354      7      425       214 
252      9349      8      429       214 
253      9348      8      430       214 
254      9346      8      432       214 
255      9342      8      436       214 
256      9341      8      436       215 
257      9340      8      434       218 
258      9338      8      436       218 
259      9337      8      437       218 
260      9336      8      437       219 
261      9333      8      440       219 
262      9331      8      440       221 
263      9328      8      442       222 
264      9324      8      445       223 
265      9322      8      446       224 
266      9320      8      443       229 
267      9317      8      444       231 
268      9313      8      447       232 
269      9311      8      447       234 
270      9306      8      451       235 
271      9305      8      452       235 
272      9303      8      453       236 
273      9300      8      454       238 
274      9296      8      457       239 
275      9295      9      457       239 
276      9291      9      460       240 
277      9288      8      464       240 
278      9284      8      467       241 
279      9283      8      467       242 
280      9281      8      468       243 
281      9278      8      470       244 
282      9276      8      472       244 
283      9273      8      474       245 
284      9273      8      474       245 
285      9272      8      473       247 
286      9271      8      471       250 
287      9268      8      473       251 
288      9265      8      473       254 
289      9261      8      476       255 
290      9258      8      478       256 
291      9255      8      480       257 
292      9253      8      481       258 
293      9250      8      482       260 
294      9248      8      482       262 
295      9247      8      479       266 
296      9244      8      480       268 
297      9243      8      481       268 
298      9240      8      481       271 
299      9239      8      481       272 
300      9237      8      482       273 
301      9234      8      485       273 
302      9234      8      484       274 
303      9229      8      486       277 
304      9226      9      485       280 
305      9225      9      484       282 
306      9223      9      484       284 
307      9222      10      484       284 
308      9219      10      486       285 
309      9217      10      486       287 
310      9212      11      486       291 
311      9212      11      485       292 
312      9212      11      484       293 
313      9209      11      486       294 
314      9209      11      485       295 
315      9207      12      484       297 
