# X                   Y  	 Y_ERR  	 Z	 Z_ERR
7.8                   0.42	  0.05	         0.07	 0.04
7.69                  0.11	  0.03          -0.02    0.03
7.86                 -0.01	  0.02	        -0.09	 0.04
8.67                  0.00	  0.02	        -0.02	 0.03
8.92                  0.05	  0.03	        -0.03	 0.03
11.43                 0.01        0.02	        -0.05	 0.05
9.14                  0.14	  0.03	         0.02    0.04
11.68                -0.06	  0.02	        -0.02	 0.07
14.08                -0.13        0.02	         0.04	 0.1
9.86                 -0.11	  0.02	         0.00	 0.04
10.6                 -0.06	  0.02	        -0.03	 0.07
10.36                -0.05	  0.02	        -0.02	 0.03
13.05                -0.18	  0.02	         0.01	 0.06
9.79                 -0.11	  0.03	         0.03	 0.03
11.26                -0.2	  0.03	         0.02	 0.09
11.78                -0.28	  0.03	         0.08	 0.08
12.75                -0.15	  0.03	         0.00	 0.07
10.61                -0.12	  0.02	         0.05	 0.06
8.62                  0.07	  0.03	        -0.03	 0.04
